year,occupation_group,occ10_title,satjob
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,Finance-related,financial managers,moderately satisfied
2022,Finance-related,"securities, commodities, and financial services sales agents",moderately satisfied
2022,Finance-related,financial managers,very satisfied
2022,CS-related,computer programmers,moderately satisfied
2022,Finance-related,financial managers,very satisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,Finance-related,"securities, commodities, and financial services sales agents",moderately satisfied
2022,Finance-related,financial managers,a little dissatisfied
2022,CS-related,computer systems analysts,moderately satisfied
2022,Electrician,electricians,very satisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,Finance-related,financial managers,moderately satisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2022,CS-related,"software developers, applications and systems software",a little dissatisfied
2022,CS-related,computer systems analysts,very satisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2022,Finance-related,financial managers,moderately satisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,Finance-related,"securities, commodities, and financial services sales agents",moderately satisfied
2022,Finance-related,financial managers,a little dissatisfied
2022,Finance-related,personal financial advisors,very satisfied
2022,Finance-related,"securities, commodities, and financial services sales agents",moderately satisfied
2022,Finance-related,financial managers,very satisfied
2022,Finance-related,financial managers,moderately satisfied
2022,CS-related,computer systems analysts,very dissatisfied
2022,Electrician,electricians,very satisfied
2022,Electrician,electricians,moderately satisfied
2022,Electrician,electricians,a little dissatisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2022,Electrician,electricians,very satisfied
2022,Finance-related,financial managers,very satisfied
2022,Electrician,electricians,very satisfied
2022,Finance-related,personal financial advisors,very satisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2022,Finance-related,personal financial advisors,moderately satisfied
2022,Finance-related,financial managers,very satisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2022,Finance-related,financial managers,a little dissatisfied
2022,Finance-related,financial managers,very satisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,CS-related,"software developers, applications and systems software",a little dissatisfied
2022,CS-related,"software developers, applications and systems software",a little dissatisfied
2022,Finance-related,financial analysts,moderately satisfied
2022,Electrician,electricians,very satisfied
2022,Electrician,electricians,moderately satisfied
2022,Electrician,electricians,very satisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,Finance-related,financial managers,moderately satisfied
2022,CS-related,computer systems analysts,a little dissatisfied
2022,Finance-related,financial managers,very satisfied
2022,CS-related,"software developers, applications and systems software",moderately satisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2022,Electrician,electricians,very satisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2022,Finance-related,financial managers,very satisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2022,Finance-related,financial managers,moderately satisfied
2022,CS-related,"software developers, applications and systems software",very satisfied
2024,Finance-related,"securities, commodities, and financial services sales agents",moderately satisfied
2024,Finance-related,financial managers,moderately satisfied
2024,Finance-related,financial managers,very satisfied
2024,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2024,Finance-related,financial managers,moderately satisfied
2024,Finance-related,financial managers,moderately satisfied
2024,CS-related,computer systems analysts,moderately satisfied
2024,Finance-related,financial managers,moderately satisfied
2024,CS-related,"software developers, applications and systems software",very satisfied
2024,Finance-related,"securities, commodities, and financial services sales agents",a little dissatisfied
2024,Finance-related,personal financial advisors,a little dissatisfied
2024,Finance-related,financial managers,moderately satisfied
2024,CS-related,"software developers, applications and systems software",very satisfied
2024,CS-related,"software developers, applications and systems software",very dissatisfied
2024,CS-related,"software developers, applications and systems software",a little dissatisfied
2024,CS-related,"software developers, applications and systems software",moderately satisfied
2024,CS-related,"software developers, applications and systems software",very satisfied
2024,CS-related,"software developers, applications and systems software",very dissatisfied
2024,CS-related,"software developers, applications and systems software",moderately satisfied
2024,CS-related,"software developers, applications and systems software",very satisfied
2024,CS-related,"software developers, applications and systems software",moderately satisfied
2024,CS-related,"software developers, applications and systems software",moderately satisfied
2024,CS-related,computer systems analysts,moderately satisfied
2024,CS-related,"software developers, applications and systems software",moderately satisfied
2024,Finance-related,"securities, commodities, and financial services sales agents",very dissatisfied
2024,CS-related,"software developers, applications and systems software",very satisfied
2024,CS-related,"software developers, applications and systems software",very satisfied
2024,Electrician,electricians,moderately satisfied
2024,CS-related,"software developers, applications and systems software",moderately satisfied
2024,CS-related,"software developers, applications and systems software",very satisfied
2024,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2024,Electrician,electricians,very satisfied
2024,CS-related,"software developers, applications and systems software",moderately satisfied
2024,CS-related,"software developers, applications and systems software",moderately satisfied
2024,Finance-related,personal financial advisors,moderately satisfied
2024,CS-related,computer systems analysts,moderately satisfied
2024,Electrician,electricians,moderately satisfied
2024,CS-related,"software developers, applications and systems software",very satisfied
2024,Finance-related,financial managers,very dissatisfied
2024,CS-related,computer programmers,very satisfied
2024,CS-related,"software developers, applications and systems software",very satisfied
2024,CS-related,computer systems analysts,very satisfied
2024,Finance-related,financial managers,very satisfied
2024,Finance-related,financial managers,a little dissatisfied
2024,Electrician,electricians,very satisfied
2024,Finance-related,financial analysts,very satisfied
2024,CS-related,"software developers, applications and systems software",a little dissatisfied
2024,Electrician,electricians,moderately satisfied
2024,Electrician,electricians,moderately satisfied
2024,Electrician,electricians,very satisfied
2024,CS-related,"software developers, applications and systems software",very satisfied
2024,Electrician,electricians,moderately satisfied
2024,CS-related,computer systems analysts,moderately satisfied
2024,CS-related,"software developers, applications and systems software",moderately satisfied
2024,Electrician,electricians,very satisfied
2024,Finance-related,personal financial advisors,moderately satisfied
2024,Finance-related,financial managers,moderately satisfied
2024,CS-related,"software developers, applications and systems software",very satisfied
2024,CS-related,computer systems analysts,moderately satisfied
2024,CS-related,"software developers, applications and systems software",moderately satisfied
2024,CS-related,computer programmers,moderately satisfied
2024,CS-related,computer systems analysts,moderately satisfied
2024,Finance-related,"securities, commodities, and financial services sales agents",very satisfied
2024,Finance-related,financial managers,a little dissatisfied
2024,CS-related,"software developers, applications and systems software",very satisfied
2024,CS-related,"software developers, applications and systems software",moderately satisfied
2024,Electrician,electricians,very dissatisfied
2024,Electrician,electricians,moderately satisfied
2024,CS-related,"software developers, applications and systems software",moderately satisfied
2024,CS-related,computer programmers,very satisfied
